IATA,Airport_Name,City_State,ZIP_Code
SBN,South Bend International Airport,"South Bend, IN",46628
GRB,Green Bay-Austin Straubel International Airport,"Green Bay, WI",54313
DFW,Dallas/Fort Worth International Airport,"Dallas/Fort Worth, TX",75261
RDM,Roberts Field (Redmond Municipal Airport),"Redmond, OR",97756
STS,Charles M. Schulz-Sonoma County Airport,"Santa Rosa, CA",95403
TVC,Cherry Capital Airport,"Traverse City, MI",49686
BTV,Patrick Leahy Burlington International Airport,"Burlington, VT",5403
AVL,Asheville Regional Airport,"Fletcher (Asheville), NC",28732
ECP,Northwest Florida Beaches International Airport,"Panama City, FL",32409
DRO,Durango-La Plata County Airport,"Durango, CO",81303
CID,The Eastern Iowa Airport,"Cedar Rapids, IA",52404
SBP,San Luis Obispo County Regional Airport,"San Luis Obispo, CA",93401
MYR,Myrtle Beach International Airport,"Myrtle Beach, SC",29577
MRY,Monterey Regional Airport,"Monterey, CA",93940
LIH,Lihue Airport,"Lihue, HI",96766
AGS,Augusta Regional Airport,"Augusta, GA",30906
ANC,Ted Stevens Anchorage International Airport,"Anchorage, AK",99502
RAP,Rapid City Regional Airport,"Rapid City, SD",57703
EUG,Eugene Airport (Mahlon Sweet Field),"Eugene, OR",97402
SRQ,Sarasota-Bradenton International Airport,"Sarasota, FL",34243
EYW,Key West International Airport,"Key West, FL",33040
MSN,Dane County Regional Airport,"Madison, WI",53704
ROC,Frederick Douglass Greater Rochester Int'l Airport,"Rochester, NY",14624
LEX,Blue Grass Airport,"Lexington, KY",40510
PNS,Pensacola International Airport,"Pensacola, FL",32504
HDN,Yampa Valley Airport,"Hayden, CO",81639
AMA,Rick Husband Amarillo International Airport,"Amarillo, TX",79111
FCA,Glacier Park International Airport,"Kalispell, MT",59901
GRR,Gerald R. Ford International Airport,"Grand Rapids, MI",49512
PWM,Portland International Jetport,"Portland, ME",4102
